date, time, event_title, link
Dec 31 2018, 9:00 PM, Post Malone, https://www.barclayscenter.com/events/detail/post-malone-2018
Dec 29 2018, 7:30 PM, Post Malone, https://www.barclayscenter.com/events/detail/post-malone-2018
Dec 28 2018, 7:00 PM, New York Islanders vs. Ottawa Senators, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-ottawa-senators-2018-12-28
Dec 27 2018, 7:00 PM, Harlem Globetrotters, https://www.barclayscenter.com/events/detail/original-harlem-globetrotters
Dec 26 2018, 7:30 PM, Brooklyn Nets vs. Charlotte Hornets, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-charlotte-hornets-2018-12-26
Dec 23 2018, 6:00 PM, Brooklyn Nets vs. Phoenix Suns, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-phoenix-suns-2018-12-23
Dec 22 2018, @ TBA, Premier Boxing Champions: Jermall Charlo vs. Willie Monroe Jr., https://www.barclayscenter.com/events/detail/premier-boxing-champions-2018
Dec 21 2018, 7:30 PM, Brooklyn Nets vs. Indiana Pacers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-indiana-pacers-2018-12-21
Dec 19 2018, 8:00 PM, Michelle Obama, https://www.barclayscenter.com/events/detail/michelle-obama-2018
Dec 18 2018, 7:30 PM, Brooklyn Nets vs. Los Angeles Lakers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-lakers-2018-12-18
Dec 16 2018, 3:00 PM, Brooklyn Nets vs. Atlanta Hawks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-atlanta-hawks-2018-12-16
Dec 15 2018, 8:00 PM, Ghost, https://www.barclayscenter.com/events/detail/ghost-2018
Dec 14 2018, 7:30 PM, Brooklyn Nets vs. Washington Wizards, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-atlanta-hawks-2018-12-14
Dec 12 2018, 7:00 PM, New York Islanders vs. Vegas Golden Knights, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-vegas-golden-knights-2018-11-27
Dec 9 2018, 4:30 PM, Battle in the Apple Basketball Showcase, https://www.barclayscenter.com/events/detail/battle-in-the-apple-basketball-showcase-2018
Dec 7 2018, 7:30 PM, Brooklyn Nets vs. Toronto Raptors, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-toronto-raptors-2018-12-7
Dec 6 2018, 7:00 PM, ALT 92.3 Presents Not So Silent Night, https://www.barclayscenter.com/events/detail/alt-923-presents-not-so-silent-night-2018
Dec 5 2018, 7:30 PM, Brooklyn Nets vs. Oklahoma City Thunder, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-oklahoma-city-thunder-2018-12-5
Dec 4 2018, 7:00 PM, New York Islanders vs. Winnipeg Jets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-winipeg-jets-2018-11-26
Dec 3 2018, 7:30 PM, Brooklyn Nets vs. Cleveland Cavaliers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-cleveland-cavaliers-2018-12-3
Dec 1 2018, 8:00 PM, Michelle Obama, https://www.barclayscenter.com/events/detail/michelle-obama-2018
Nov 30 2018, 7:30 PM, Brooklyn Nets vs. Memphis Grizzlies, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-memphis-grizzlies-2018-11-30
Nov 28 2018, 7:30 PM, Brooklyn Nets vs. Utah Jazz, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-utah-jazz-2018-11-28
Nov 26 2018, 7:00 PM, New York Islanders vs. Washington Capitals, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-washington-capitals-2018-11-25
Nov 25 2018, 12:00 PM, Harlem Globetrotters, https://www.barclayscenter.com/events/detail/original-harlem-globetrotters-2018
